dia,perspectiva,temperatura,humedad,viento,decision
1,Soleado,Caliente,Alto,Débil,No
2,Soleado,Caliente,Alto,Fuerte,No
3,Nublado,Caliente,Alto,Débil,Sí
4,Lluvia,Leve,Alto,Débil,Sí
5,Lluvia,Fresco,Normal,Débil,Sí
6,Lluvia,Fresco,Normal,Fuerte,No
7,Nublado,Fresco,Normal,Fuerte,Sí
8,Soleado,Leve,Alto,Débil,No
9,Soleado,Fresco,Normal,Débil,Sí
10,Lluvia,Leve,Normal,Débil,Sí
11,Soleado,Leve,Normal,Fuerte,Sí
12,Nublado,Leve,Alto,Fuerte,Sí
13,Nublado,Caliente,Normal,Débil,Sí
14,Lluvia,Leve,Alto,Fuerte,No
